Country,case,2020-10-22,2020-10-21,2020-10-20,2020-10-19,2020-10-18,2020-10-17,2020-10-16,2020-10-15,2020-10-14,2020-10-13,2020-10-12,2020-10-11,2020-10-10,2020-10-09,2020-10-08,2020-10-07,2020-10-06,2020-10-05,2020-10-04,2020-10-03,2020-10-02,2020-10-01,2020-09-30,2020-09-29,2020-09-28,2020-09-27,2020-09-26,2020-09-25,2020-09-24,2020-09-23,2020-09-22,2020-09-21,2020-09-20,2020-09-19,2020-09-18,2020-09-17,2020-09-16,2020-09-15,2020-09-14,2020-09-13,2020-09-12,2020-09-11,2020-09-10,2020-09-09,2020-09-08,2020-09-07,2020-09-06,2020-09-05,2020-09-04,2020-09-03,2020-09-02,2020-09-01,2020-08-31,2020-08-30,2020-08-29,2020-08-28,2020-08-27,2020-08-26,2020-08-25,2020-08-24,2020-08-23,2020-08-22,2020-08-21,2020-08-20,2020-08-19,2020-08-18,2020-08-17,2020-08-16,2020-08-15,2020-08-14,2020-08-13,2020-08-12,2020-08-11,2020-08-10,2020-08-09,2020-08-08,2020-08-07,2020-08-06,2020-08-05,2020-08-04,2020-08-03,2020-08-02,2020-08-01,2020-07-31,2020-07-30,2020-07-29,2020-07-28,2020-07-27,2020-07-26,2020-07-25,2020-07-24,2020-07-23,2020-07-22,2020-07-21,2020-07-20,2020-07-19,2020-07-18,2020-07-17,2020-07-16,2020-07-15,2020-07-14,2020-07-13,2020-07-12,2020-07-11,2020-07-10,2020-07-09,2020-07-08,2020-07-07,2020-07-06,2020-07-05,2020-07-04,2020-07-03,2020-07-02,2020-07-01,2020-06-30,2020-06-29,2020-06-28,2020-06-27,2020-06-26,2020-06-25,2020-06-24,2020-06-23,2020-06-22,2020-06-21,2020-06-20,2020-06-19,2020-06-18,2020-06-17,2020-06-16,2020-06-15,2020-06-14,2020-06-13,2020-06-12,2020-06-11,2020-06-10,2020-06-09,2020-06-08,2020-06-07,2020-06-06,2020-06-05,2020-06-04,2020-06-03,2020-06-02,2020-06-01,2020-05-31,2020-05-30,2020-05-29,2020-05-28,2020-05-27,2020-05-26,2020-05-25,2020-05-24,2020-05-23,2020-05-22,2020-05-21,2020-05-20,2020-05-19,2020-05-18,2020-05-17,2020-05-16,2020-05-15,2020-05-14,2020-05-13,2020-05-12,2020-05-11,2020-05-10,2020-05-09,2020-05-08,2020-05-07,2020-05-06,2020-05-05,2020-05-04,2020-05-03,2020-05-02,2020-05-01,2020-04-30,2020-04-29,2020-04-28,2020-04-27,2020-04-26,2020-04-25,2020-04-24,2020-04-23,2020-04-22,2020-04-21,2020-04-20,2020-04-19,2020-04-18,2020-04-17,2020-04-16,2020-04-15,2020-04-14,2020-04-13,2020-04-12,2020-04-11,2020-04-10,2020-04-09,2020-04-08,2020-04-07,2020-04-06,2020-04-05,2020-04-04,2020-04-03,2020-04-02,2020-04-01,2020-03-31,2020-03-30,2020-03-29,2020-03-28,2020-03-27,2020-03-26,2020-03-25,2020-03-24,2020-03-23,2020-03-22,2020-03-21,2020-03-20,2020-03-19,2020-03-18,2020-03-17,2020-03-16,2020-03-15,2020-03-14,2020-03-13,2020-03-12,2020-03-11,2020-03-10,2020-03-09,2020-03-08,2020-03-07,2020-03-06,2020-03-05,2020-03-04,2020-03-03,2020-03-02,2020-03-01,2020-02-29,2020-02-28,2020-02-27,2020-02-26,2020-02-25,2020-02-24,2020-02-23,2020-02-22,2020-02-21,2020-02-20,2020-02-19,2020-02-18,2020-02-17,2020-02-16,2020-02-15,2020-02-14,2020-02-13,2020-02-12,2020-02-11,2020-02-10,2020-02-09,2020-02-08,2020-02-07,2020-02-06,2020-02-05,2020-02-04,2020-02-03,2020-02-02,2020-02-01,2020-01-31,2020-01-30,2020-01-29,2020-01-28,2020-01-27,2020-01-26,2020-01-25
Algeria,confirm,55357,55081,54829,54616,54402,54203,53998,53777,53584,53399,53325,53072,52940,52804,52658,52520,52399,52270,52136,51995,51847,51690,51530,51368,51213,51067,50914,50754,50579,50400,50214,50023,49826,49623,49413,49194,48966,48734,48496,48254,48007,47752,47488,47216,46938,46653,46364,46071,45773,45469,45158,44833,44494,44146,43781,43403,43016,42619,42228,41858,41460,41068,40667,40258,39847,39444,39025,38583,38133,37664,37187,36699,36204,35712,35160,34693,34155,33626,33055,32504,31972,31465,30950,30394,29831,29229,28615,27973,27357,26764,26159,25484,24872,24278,23691,23084,22549,21948,21355,20770,20216,19689,19195,18712,18242,17808,17348,16879,16404,15941,15500,15070,14657,14272,13907,13571,13273,12968,12685,12445,12248,12076,11920,11771,11631,11504,11385,11268,11147,11031,10919,10810,10698,10589,10484,10382,10265,10154,10050,9935,9831,9733,9626,9513,9394,9267,9134,8997,8857,8697,8503,8306,8113,7918,7728,7542,7377,7201,7019,6821,6629,6442,6253,6067,5891,5723,5558,5369,5182,4997,4838,4648,4474,4295,4154,4006,3848,3649,3517,3382,3256,3127,3007,2910,2811,2718,2629,2534,2418,2268,2160,2070,1983,1914,1825,1761,1666,1572,1468,1423,1320,1251,1171,986,847,716,584,511,454,409,367,302,264,230,201,139,90,87,74,60,54,48,37,26,24,20,20,20,19,17,17,12,12,5,3,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Algeria,recovered,38618,38482,38346,38215,38088,37971,37856,37603,37603,37492,37382,37170,37170,37067,36958,36857,36763,36672,36578,36482,36385,36282,36174,36063,35962,35860,35756,35654,35544,35428,35307,35180,35047,34923,34818,34675,34517,34385,34204,34037,33875,33723,33562,33379,33183,32985,32745,32481,32259,32006,31746,31493,31244,30978,30717,30436,30157,29886,29587,29369,29142,28874,28587,28281,27971,27653,27347,27017,26644,26308,26004,25627,25263,24920,24506,24083,23667,23238,22802,22375,21901,21419,20988,20537,20082,19592,19233,18837,18088,18076,17369,17369,16983,16646,16400,16051,15744,15430,15107,14792,14295,14019,13743,13124,13124,12637,12329,12094,11884,11492,11181,10832,10342,10040,9897,9674,9371,9202,9066,8920,8792,8674,8559,8422,8324,8196,8078,7943,7842,7735,7606,7420,7322,7255,7074,6951,6799,6717,6631,6453,6297,6218,6067,5894,5748,5549,5422,5277,5129,4918,4747,4784,4426,4256,4062,3968,3746,3625,3507,3409,3271,3158,3058,2998,2841,2678,2546,2467,2323,2197,2067,1998,1936,1872,1821,1779,1702,1651,1558,1508,1479,1408,1355,1204,1152,1099,1047,894,846,783,708,691,601,591,460,405,347,237,113,90,90,90,62,61,61,46,37,31,31,29,29,65,24,65,65,32,32,32,12,12,12,12,12,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Algeria,death,1888,1880,1873,1865,1856,1846,1841,1827,1827,1818,1809,1801,1795,1789,1783,1771,1768,1768,1760,1756,1749,1741,1736,1726,1719,1714,1711,1707,1703,1698,1689,1679,1672,1665,1659,1654,1645,1632,1620,1612,1605,1599,1591,1581,1571,1562,1556,1549,1539,1529,1523,1518,1510,1501,1491,1483,1475,1465,1456,1446,1435,1424,1418,1411,1402,1391,1379,1370,1360,1351,1341,1333,1322,1312,1302,1293,1282,1273,1261,1248,1239,1231,1223,1210,1200,1186,1174,1163,1155,1146,1136,1124,1111,1100,1087,1078,1068,1057,1052,1040,1028,1018,1011,1004,996,988,978,968,959,952,946,937,928,920,912,905,897,892,885,878,869,861,852,845,837,825,811,799,788,777,767,760,751,741,732,724,715,707,698,690,681,673,667,661,653,646,638,630,623,617,609,600,592,582,575,568,561,555,548,542,536,529,522,515,507,502,494,488,483,476,470,465,463,459,453,450,444,437,432,425,419,415,407,402,392,384,375,367,364,348,336,326,313,293,275,256,235,205,193,173,152,130,105,86,58,44,35,31,29,26,25,21,19,17,17,15,11,9,7,4,4,4,3,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bahrain,confirm,79211,78907,78533,78224,77902,77571,77325,76954,76621,76272,75948,75614,75287,74860,74422,73932,73476,73116,72662,72310,71803,71374,70864,70422,69848,69361,68775,68190,67701,67014,66402,65752,65039,64499,63879,63189,62484,61643,60965,60307,59586,58839,58207,57450,56778,56076,55415,54771,54095,53433,52807,52440,51972,51574,51391,51113,50756,50393,50076,49719,49330,49038,48661,48303,47950,47581,47185,46835,46430,46052,45726,45264,44804,44397,44011,43629,43307,42889,42514,42132,41835,41536,41190,40982,40755,40311,39921,39482,39131,38747,38458,37996,37637,37316,36936,36422,36004,35473,35084,34560,34078,33476,32941,32470,32039,31528,30931,30321,29821,29367,28857,28410,27837,27414,26758,26239,25705,25267,24805,24081,23570,23062,22407,21764,21331,20916,20430,19961,19553,19013,18227,17713,17269,16667,16200,15731,15417,14763,14383,13835,13296,12815,12311,11871,11398,10793,10449,10052,9692,9366,9171,9138,8802,8414,8174,7888,7532,7184,6956,6747,6583,6198,5816,5531,5236,4941,4774,4444,4199,3934,3720,3533,3383,3284,3170,3040,2921,2811,2723,2647,2588,2518,2217,2027,1973,1907,1881,1773,1740,1700,1671,1528,1361,1136,1040,925,887,823,811,756,700,688,672,643,569,567,515,499,476,466,458,419,392,377,334,305,285,278,256,228,214,214,210,195,195,195,110,95,85,85,60,55,52,49,49,47,41,36,33,33,23,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bahrain,recovered,75840,75424,75089,74683,74320,73841,73421,73013,72561,72164,71687,71249,70808,70406,69411,69411,68606,67933,67475,66813,66184,65550,64838,64267,63549,62887,62252,61475,60853,60117,59367,58626,57950,57299,56700,56087,55444,54831,54204,53681,53192,52776,52284,51819,51574,51240,50946,50645,50323,50013,49645,49395,49047,48654,48275,47760,47370,47049,46673,46311,45981,45589,45166,44628,44278,43921,43529,43128,42806,42469,42180,41836,41504,41209,40967,40549,40276,39945,39576,39335,39007,38666,38211,37840,37357,36920,36531,36110,35689,35205,34826,34412,33894,33455,32965,32372,31765,31188,30809,30320,29753,29099,28425,27828,27213,26520,26073,25570,25178,24649,23959,23318,22583,21948,21331,20928,20517,19781,19137,18501,17977,17450,16862,16419,15790,15287,14696,14185,13866,13267,12818,12191,11903,11487,11109,10606,10326,9468,9056,8585,7728,7410,7407,7070,6673,5826,5700,5419,5152,4938,4753,4587,4465,4096,3873,3568,2952,2931,2910,2762,2640,2353,2205,2192,2152,2070,2055,2028,2000,1860,1762,1744,1718,1568,1555,1500,1455,1310,1218,1189,1160,1113,1082,1026,784,769,759,755,725,703,663,645,591,558,555,539,519,477,458,458,431,423,382,381,337,295,279,272,265,227,204,177,177,149,149,125,100,100,88,81,77,60,44,44,35,35,22,14,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bahrain,death,308,308,305,302,300,293,292,289,287,285,280,275,273,271,264,262,262,261,260,258,255,254,251,246,245,242,239,236,231,231,227,224,221,221,220,217,216,213,213,212,211,208,207,203,202,200,199,196,195,190,190,190,190,189,189,189,188,186,186,185,184,183,181,179,178,175,173,170,170,168,167,166,165,163,162,161,159,156,154,151,150,147,147,147,146,144,141,141,140,137,136,134,130,129,128,126,124,124,121,117,111,109,108,104,104,103,98,98,98,97,96,95,94,92,87,84,83,78,73,71,69,67,65,63,60,57,55,49,47,46,42,37,36,34,31,29,27,26,24,22,21,20,19,19,19,17,15,15,15,14,14,14,13,12,12,12,12,12,12,12,12,10,10,9,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,7,7,7,7,7,7,7,7,7,6,6,6,6,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,3,2,2,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Egypt,confirm,106060,105883,105705,105547,105424,105297,105159,105033,104915,104787,104648,104516,104387,104262,104156,104035,103902,103781,103683,103575,103466,103317,103198,103079,102955,102840,102736,102625,102513,102375,102254,102141,102015,101900,101772,101641,101500,101340,101177,101009,100856,100708,100557,100403,100228,100041,99863,99712,99582,99425,99280,99115,98939,98727,98497,98285,98062,97825,97619,97478,97340,97237,97148,97025,96914,96753,96590,96475,96336,96220,96108,95963,95834,95666,95492,95314,95147,95006,94875,94752,94640,94483,94316,94078,93757,93356,92947,92482,92062,91583,91072,90413,89745,89078,88402,87775,87172,86474,85771,84843,83930,83001,82070,81158,80235,79254,78304,77279,76222,75253,74035,72711,71299,69814,68311,66754,65188,63923,62755,61130,59561,58141,56809,55233,53758,52211,50437,49219,47856,46289,44598,42980,41303,39726,38284,36829,35444,34079,32612,31115,29767,28615,27536,26384,24985,23449,22082,20793,19666,18756,17967,17265,16513,15786,15003,14229,13484,12764,12229,11719,11228,10829,10431,10093,9746,9400,8964,8476,7981,7588,7201,6813,6465,6193,5895,5537,5268,5042,4782,4534,4319,4092,3891,3659,3490,3333,3144,3032,2844,2673,2505,2350,2190,2065,1939,1794,1699,1560,1450,1322,1173,1070,985,865,779,710,656,609,576,536,495,456,402,366,327,294,285,256,196,196,150,110,109,80,67,60,59,55,49,15,15,3,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,
Egypt,recovered,98624,98516,98413,98314,98247,98157,98089,98011,97920,97841,97743,97688,97643,97592,97524,97492,97449,97398,97355,97274,97143,96855,96494,96094,95586,95080,94374,93531,92644,91843,91143,90332,89532,88666,87958,87158,86549,85745,84969,84161,83261,82473,81597,80689,79886,79008,78108,77208,76305,75415,74626,73828,72929,72120,71302,70419,69612,68713,67717,66817,65927,65118,64318,63462,62553,61562,60651,59743,58835,57858,56890,55901,54888,53779,52678,51672,50553,48898,47182,45569,44066,42455,41137,39638,38236,37025,35959,34838,33831,32903,31970,31066,30075,29473,28924,28380,27868,27302,26691,26135,25544,24975,24419,23876,23274,22753,22241,21718,21238,20726,20103,19690,19288,18881,18460,17951,17539,17140,16737,16338,15935,15535,15133,14736,14327,13928,13528,13141,12730,12329,11931,11529,11108,10691,10289,9786,9375,8961,8538,8158,7756,7350,6827,6447,6037,5693,5511,5359,5205,5027,4900,4807,4628,4374,4217,3994,3742,3440,3172,2950,2799,2626,2486,2326,2172,2075,2002,1945,1887,1815,1730,1632,1562,1522,1460,1381,1335,1304,1236,1176,1114,1075,1004,935,870,821,732,701,646,596,589,589,589,589,426,384,348,305,276,259,247,241,216,201,179,157,150,132,121,116,102,95,80,56,56,41,39,32,32,32,27,21,27,27,27,27,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Egypt,death,6166,6155,6142,6130,6120,6109,6099,6088,6077,6071,6062,6052,6040,6029,6017,6010,6001,5990,5981,5970,5956,5946,5930,5914,5901,5883,5869,5853,5835,5822,5806,5787,5770,5750,5733,5715,5696,5679,5661,5648,5627,5607,5590,5577,5560,5541,5530,5511,5495,5479,5461,5440,5421,5399,5376,5362,5342,5317,5298,5280,5262,5243,5231,5212,5197,5184,5173,5160,5141,5124,5107,5085,5059,5035,5009,4992,4971,4951,4930,4912,4888,4865,4834,4805,4774,4728,4691,4652,4606,4558,4518,4480,4440,4399,4352,4302,4251,4188,4120,4067,4008,3935,3858,3769,3702,3617,3564,3489,3422,3343,3280,3201,3120,3034,2953,2872,2789,2708,2620,2533,2450,2365,2278,2193,2106,2017,1938,1850,1766,1672,1575,1484,1422,1377,1342,1306,1271,1237,1198,1166,1126,1088,1052,1005,959,913,879,845,816,797,783,764,735,707,696,680,659,645,630,612,592,571,556,544,533,525,514,503,482,469,452,436,429,415,406,392,380,359,337,317,307,294,287,276,264,250,239,224,205,196,183,178,164,159,146,135,118,103,94,85,78,71,66,58,52,46,41,40,36,30,24,21,20,19,14,10,8,6,6,4,2,2,2,2,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iraq,confirm,442164,438265,434598,430678,426634,423524,420303,416802,413215,409358,405437,402330,400124,397780,394566,391044,387121,382949,379141,375931,372259,367474,362981,358290,353566,349450,345969,341699,337106,332635,327580,322856,319035,315597,311690,307385,303059,298702,294478,290309,286778,282672,278418,273821,269578,264684,260370,256719,252075,247039,242284,238338,234934,231177,227446,223612,219435,215784,211947,207985,204341,201050,197085,192797,188802,184709,180133,176931,172583,168290,164277,160436,156995,153599,150115,147389,144064,140603,137556,134722,131886,129151,126704,124609,121263,118300,115332,112585,110032,107573,104711,102226,99865,97159,94693,92530,90220,88171,86148,83867,81757,79735,77506,75194,72460,69612,67442,64701,62275,60479,58354,56020,53708,51524,49109,47151,45402,43262,41193,39139,36702,34502,32676,30868,29222,27352,25717,24254,22700,21315,20209,18950,17770,16675,15414,14268,13481,12366,11098,9846,8840,8168,7387,6868,6439,6179,5873,5457,5135,4848,4632,4469,4272,3964,3877,3724,3611,3554,3404,3260,3193,3143,3032,2913,2818,2767,2679,2603,2543,2480,2431,2346,2296,2219,2153,2085,2003,1928,1847,1820,1763,1708,1677,1631,1602,1574,1539,1513,1482,1434,1415,1400,1378,1352,1318,1279,1232,1202,1122,1031,961,878,820,772,728,694,630,547,506,458,382,346,316,266,233,214,208,192,164,154,124,116,110,101,71,71,71,60,60,54,40,35,35,32,26,19,13,7,7,5,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
